mark,model,generation_name,year,mileage,vol_engine,fuel,price
audi,a3,gen-8p-2003-2012,2005,191050,1984,Gasoline,16900
audi,a3,gen-8p-2003-2012,2012,205954,1598,Diesel,33900
audi,a3,gen-8p-2003-2012,2004,264000,1595,Gasoline,12900
audi,a3,gen-8p-2003-2012,2007,179000,1595,Gasoline,25500
audi,a3,gen-8p-2003-2012,2006,220000,1595,Gasoline,18900
audi,a3,gen-8p-2003-2012,2010,260000,1968,Diesel,27900
audi,a3,gen-8p-2003-2012,2008,278733,1984,Gasoline,25900
audi,a3,gen-8p-2003-2012,2008,205000,1896,Diesel,22900
audi,a3,gen-8p-2003-2012,2009,196000,1595,Gasoline,23900
audi,a3,gen-8p-2003-2012,2010,156000,1390,Gasoline,28900
audi,a3,gen-8p-2003-2012,2007,152000,1984,Gasoline,9500
audi,a3,gen-8p-2003-2012,2008,280000,1968,Diesel,31900
audi,a3,gen-8p-2003-2012,2006,132000,1595,Gasoline,23900
audi,a3,gen-8p-2003-2012,2010,117995,1197,Gasoline,29000
audi,a3,gen-8p-2003-2012,2009,147000,1798,Gasoline,41900
audi,a3,gen-8p-2003-2012,2003,209441,1595,Gasoline,12500
audi,a3,gen-8p-2003-2012,2004,191380,1595,Gasoline,13900
audi,a3,gen-8p-2003-2012,2008,280000,1968,Diesel,18900
audi,a3,gen-8p-2003-2012,2011,171000,1197,Gasoline,29900
audi,a3,gen-8p-2003-2012,2006,201000,1896,Diesel,14500
audi,a3,gen-8p-2003-2012,2006,246206,1984,Gasoline,25000
audi,a3,gen-8p-2003-2012,2009,268630,1595,Gasoline,18500
audi,a3,gen-8p-2003-2012,2008,250000,1968,Diesel,32900
audi,a3,gen-8p-2003-2012,2005,195000,2000,Gasoline,12999
audi,a3,gen-8p-2003-2012,2009,238856,1896,Diesel,21900
audi,a3,gen-8p-2003-2012,2009,121344,1896,Diesel,33000
audi,a3,gen-8p-2003-2012,2011,241600,1968,Diesel,29500
audi,a3,gen-8p-2003-2012,2010,196000,1595,LPG,29500
audi,a3,gen-8p-2003-2012,2009,81466,1390,Gasoline,31000
audi,a3,gen-8p-2003-2012,2008,170000,1390,Gasoline,21500
audi,a3,gen-8p-2003-2012,2010,160009,1798,Gasoline,29000
audi,a3,gen-8p-2003-2012,2009,233478,1968,Diesel,29999
audi,a3,gen-8p-2003-2012,2004,205000,1595,Gasoline,11500
